busno	busid	stationid	stationnm	x	y
6642	4664200	16162	공항동지하도입구	126.8081929087112	37.55901491821548
6642	4664200	16451	롯데몰.김포공항	126.80309432761909	37.56220900674241
6642	4664200	16166	방화동도시개발11단지	126.80444184195414	37.57068150335719
6642	4664200	16167	개화파출소	126.80257908735597	37.575152315814755
6642	4664200	16434	개화역광역환승센터	126.79850538728722	37.57859840818336
6643	4664300	16255	이마트.강서소방서	126.86176620947353	37.55766336245665
6643	4664300	16332	강서구청별관	126.86005609281561	37.56120804967414
6643	4664300	16239	가양3동도시개발6단지아파트	126.85790437173304	37.56294639041537
6643	4664300	16238	가양2동강변아파트	126.85563806160864	37.5641799397174
6643	4664300	16236	대림경동아파트	126.85321624988369	37.56558806380558
6643	4664300	16234	탑산초등학교 허준박물관	126.85176055577374	37.56669819234821
6643	4664300	16232	가양동천주교영등포공업고등학교	126.84965027555253	37.568483289525496
6643	4664300	16230	가양2단지성지아파트.동양고등학교	126.84764225334159	37.56948092666491
6643	4664300	16228	가양한강타운아파트	126.84381034175216	37.570505866599675
6643	4664300	16226	양천향교입구	126.84144945608504	37.57020806286995
6643	4664300	16333	양천향교역	126.84086311906724	37.56751120892127
6643	4664300	16334	등촌주공1단지	126.84324387864928	37.565846473307076
6643	4664300	16335	등촌2단지부영아파트	126.84258023354855	37.56383164992612
6643	4664300	16336	등촌3.4단지	126.84177429821861	37.56167516006358
6643	4664300	16337	그랜드마트발산점	126.8391468180748	37.55967839315547
6643	4664300	16393	발산역7번출구	126.83782523400932	37.55788431181684
6643	4664300	16218	발산역.우장산힐스테이트	126.83748356982058	37.55676558565239
6643	4664300	16216	명덕고등학교.웰튼병원	126.8363717463911	37.553291236463274
6643	4664300	16214	우장산역	126.83612925279981	37.54980276588072
6643	4664300	16364	강서힐스테이트아파트	126.83696308400586	37.5478530509839
6643	4664300	16339	우장산동주민센터	126.84165417294359	37.547833302906014
6643	4664300	16340	문성유치원	126.84438949602813	37.54678446065391
6643	4664300	16341	제일성심병원	126.84591775600349	37.54712167186776
6643	4664300	16142	우장초등학교	126.84777827351164	37.54936690904168
6643	4664300	16139	강서구청	126.85058418550499	37.552627947960694
6643	4664300	16137	경복비즈니스고등학교	126.85344825186198	37.55752807944646
6643	4664300	16135	마포중고등학교	126.854203886609	37.55892751128978
6643	4664300	16257	가양역.현대프린스텔	126.85634975980902	37.56021960536256
6643	4664300	16332	강서구청별관	126.86005609281561	37.56120804967414
6643	4664300	16342	가양7단지상가	126.86153651061022	37.56068175474297
6643	4664300	16243	가양3동도시개발9단지아파트	126.86321798893755	37.55975558904803
6645	4664500	16244	가양도시개발9단지.세현고등학교	126.86384061067703	37.55971846278484
6645	4664500	16348	가양7단지상가앞	126.86191554358682	37.560770505716896
6645	4664500	16241	강서구청별관	126.85949499942473	37.56102265931161
6645	4664500	16258	가양역.현대아파트	126.85658595821403	37.56041452852423
6645	4664500	16136	마포중고등학교	126.85419360047077	37.559559164695266
6645	4664500	16138	경복비즈니스고등학교	126.8531220050791	37.557662838034055
6645	4664500	16140	강서구청	126.85016986158605	37.55266887327553
6645	4664500	16141	우장초등학교	126.84818144275502	37.550353225181524
6645	4664500	16361	제일성심병원	126.84517174744407	37.54667195095631
6645	4664500	16350	우장산휴먼빌아파트	126.84347822565631	37.54743835207949
6645	4664500	16351	우장산동주민센터	126.84150890665138	37.54802414004945
6645	4664500	16352	양서1단지우장산아이파크이편한세상	126.83691180655926	37.54801337498079
6645	4664500	16213	우장산역	126.83650283085731	37.549241000966106
6645	4664500	16215	명덕고등학교.웰튼병원	126.8367014781701	37.55312048514241
6645	4664500	16217	발산역.우장산힐스테이트	126.83762549935206	37.55603859876026
6645	4664500	16325	발산역원당사거리	126.8399046667713	37.55939918333633
6645	4664500	16354	등촌주공3.4단지	126.84200534002818	37.56161599735853
6645	4664500	16355	부영주공1단지	126.84321797811762	37.564161397098474
6645	4664500	16356	등촌주공12단지	126.84262597645923	37.56630160370784
6645	4664500	16225	양천향교역.휴먼빌아파트	126.84156979500581	37.56897913607176
6645	4664500	16227	가양한강타운아파트	126.8432785020745	37.57039252541881
6645	4664500	16229	가양2단지성지아파트.동양고등학교	126.84640707527737	37.56952798514693
6645	4664500	16231	한보구암마을아파트	126.84873045493043	37.56877857364652
6645	4664500	16233	공진중학교 우체국앞 허준박물관	126.85116941608605	37.56681098620305
6645	4664500	16235	가양도시개발4단지아파트	126.8531103371276	37.56533562634688
6645	4664500	16237	가양도시개발5단지아파트	126.85500521795512	37.56421340574224
6645	4664500	16357	가양6.8단지	126.85792870592867	37.56264996030793
6645	4664500	16240	가양초등학교	126.85955022083463	37.561755313300154
6645	4664500	16256	강서소방서.이마트	126.86171946971584	37.557230782978536
6647	4664700	16435	개화역광역환승센터	126.79820745309247	37.57824016684744
6647	4664700	16413	개화동상사마을종점	126.80178688473464	37.58870426470102
6647	4664700	미정차	상사마을(가상)	126.80110954279554	37.58664954606594
6647	4664700	16172	상사마을	126.79831270561859	37.58203303032416
6647	4664700	16170	개화검문소	126.79978844979368	37.578494262645826
6647	4664700	16168	개화파출소	126.8019957971048	37.57524054684684
6647	4664700	16376	공항고등학교	126.8052327885182	37.56821832770716
6647	4664700	16166	방화동도시개발11단지	126.80444184195414	37.57068150335719
6647	4664700	16287	개화산역	126.80608335770285	37.57242872203946
6647	4664700	16285	방화사거리	126.81049238469211	37.57308556783377
6647	4664700	16373	방신시장입구	126.81172809129941	37.57151153785305
6647	4664700	16321	방화1동주민센터동원탕	126.81267381741671	37.569984792520046
6647	4664700	16375	강서농협	126.81268470197026	37.56789878434001
6647	4664700	16322	방화주유소	126.81252924338541	37.566691075443885
6647	4664700	16121	기업은행공항동지점	126.8113840134122	37.56474649840559
6647	4664700	16119	공항시장	126.80907453473945	37.56261350675536
6647	4664700	16745	송정역	126.80933705227427	37.56131906187441
6647	4664700	16326	제과점앞	126.80980452698692	37.560434943396736
6647	4664700	16378	공항동주민센터	126.81054226072924	37.5587582956013
6647	4664700	16327	공항동천주교회	126.81153032877378	37.557442479596936
6647	4664700	16158	공항동송정중학교	126.81490010991395	37.552797269119466
6647	4664700	16153	강서면허시험장.메이필드호텔	126.81949597962225	37.549683896615676
6647	4664700	16315	수협직판장	126.81834841379826	37.55199794776534
6647	4664700	16155	강서농수산물도매시장	126.81980311908067	37.55185510060528
6647	4664700	16316	청과2시장	126.82220874602741	37.554478225808985
6647	4664700	16380	다솔마을	126.81821663226644	37.55499658357754
6647	4664700	16453	송정중학교후문	126.81620424906205	37.554521295523635
6647	4664700	16159	공항동송정중학교	126.81518917365847	37.553072555377156
6647	4664700	16379	천주교성당	126.81235222087201	37.55602997408529
6647	4664700	16430	공항동주민센터	126.81059957686794	37.558920584190766
